Email Address,First Name,Last Name,Phone Number
sms1@cvawvuaa.local,Member,1,+13045322454
sms2@cvawvuaa.local,Member,2,+17575325226
sms3@cvawvuaa.local,Member,3,+18047370820
sms4@cvawvuaa.local,Member,4,+18046903368
sms5@cvawvuaa.local,Member,5,+18043175483
sms6@cvawvuaa.local,Member,6,+18043354252
sms7@cvawvuaa.local,Member,7,+18043709928
sms8@cvawvuaa.local,Member,8,+18044756686
sms9@cvawvuaa.local,Member,9,+18043638377
sms10@cvawvuaa.local,Member,10,+18047447083
sms11@cvawvuaa.local,Member,11,+17174406605
